ticker,name,sector,industry,weight,change
PWR,Quanta Services,Industrials,Construction & Engineering,0.1,
JCI,Johnson Controls,Industrials,Building Products,0.1,
MMM,3M,Industrials,Industrial Conglomerates,0.1,
CSX,CSX,Industrials,Rail Transportation,0.1,
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,0.1,
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,0.1,
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,0.1,
RSG,Republic Services,Industrials,Environmental & Facilities Services,0.1,
CTAS,Cintas,Industrials,Diversified Support Services,0.1,
TDG,TransDigm Group,Industrials,Aerospace & Defense,0.1,
LHX,L3Harris,Industrials,Aerospace & Defense,0.1,
Norfolk Southern Railway,Norfolk Southern Railway,Industrials,Other,0.1,
PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,0.1,
FAST,Fastenal,Industrials,Trading Companies & Distributors,0.1,
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,0.1,
AME,Ametek,Industrials,Electrical Components & Equipment,0.1,
CARR,Carrier Global,Industrials,Building Products,0.1,
URI,United Rentals,Industrials,Trading Companies & Distributors,0.1,
FIX,"Comfort Systems USA,",Industrials,Construction & Engineering,0.1,
DAL,Delta Air Lines,Industrials,Passenger Airlines,0.1,
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,0.1,
ODFL,Old Dominion,Industrials,Cargo Ground Transportation,0.1,
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,0.1,
AXON,Axon Enterprise,Industrials,Aerospace & Defense,0.1,
PAYX,Paychex,Industrials,Human Resource & Employment Services,0.1,
CPRT,Copart,Industrials,Diversified Support Services,0.1,
EME,"EMCOR Group,",Industrials,Construction & Engineering,0.1,
IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,0.1,
OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,0.1,
XYL,Xylem,Industrials,Industrial Machinery & Supplies & Components,0.1,
UAL,United Airlines Holdings,Industrials,Passenger Airlines,0.1,
DOV,Dover,Industrials,Industrial Machinery & Supplies & Components,0.1,
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,0.04,
ROL,"Rollins,",Industrials,Environmental & Facilities Services,0.04,
HUBB,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components,0.04,
EFX,Equifax,Industrials,Research & Consulting Services,0.04,
VLTO,Veralto,Industrials,Environmental & Facilities Services,0.04,
LDOS,Leidos,Industrials,Diversified Support Services,0.03,
JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation,0.03,
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,0.03,
EXPD,Expeditors International,Industrials,Air Freight & Logistics,0.03,
SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,0.03,
LUV,Southwest Airlines,Industrials,Passenger Airlines,0.03,
FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components,0.03,
LII,Lennox International,Industrials,Building Products,0.03,
TXT,Textron,Industrials,Aerospace & Defense,0.03,
J,Jacobs Solutions,Industrials,Construction & Engineering,0.03,
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,0.03,
NDSN,Nordson,Industrials,Industrial Machinery & Supplies & Components,0.02,
IEX,IDEX,Industrials,Industrial Machinery & Supplies & Components,0.02,
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,0.02,
ALLE,Allegion,Industrials,Building Products,0.02,
MAS,Masco,Industrials,Building Products,0.02,
GNRC,Generac,Industrials,Electrical Components & Equipment,0.02,
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,0.02,
AOS,A. O. Smith,Industrials,Building Products,0.02,
BLDR,Builders FirstSource,Industrials,Building Products,0.02,
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,1.7,
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,0.8,
PG,Procter & Gamble,Consumer Staples,Personal Care Products,0.6,
KO,Coca-Cola Company,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,0.6,
PM,Philip Morris International,Consumer Staples,Tobacco,0.5,
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,0.4,
MO,Altria,Consumer Staples,Tobacco,0.2,
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,0.1,
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,0.1,
CL,Colgate-Palmolive,Consumer Staples,Household Products,0.1,
KR,Kroger,Consumer Staples,Food Retail,0.1,
HSY,Hershey Company,Consumer Staples,Packaged Foods & Meats,0.1,
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,0.1,
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,0.1,
SYY,Sysco,Consumer Staples,Food Distributors,0.1,
KVUE,Kenvue,Consumer Staples,Personal Care Products,0.1,
KMB,Kimberly-Clark,Consumer Staples,Household Products,0.1,
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,0.1,
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,0.1,
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,0.04,
EL,Estée Lauder Companies,Consumer Staples,Personal Care Products,0.04,
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,0.04,
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,0.04,
CHD,Church & Dwight,Consumer Staples,Household Products,0.04,
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,0.03,
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,0.03,
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,0.02,
CLX,Clorox,Consumer Staples,Household Products,0.02,
BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,0.02,
SJM,J.M. Smucker Company,Consumer Staples,Packaged Foods & Meats,0.02,
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,0.01,
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,0.01,
Campbell Soup Company,Campbell Soup Company,Consumer Staples,Other,0.01,
XOM,ExxonMobil,Energy,Integrated Oil & Gas,1.2,
CVX,Chevron,Energy,Integrated Oil & Gas,0.7,
